"","ClubSize","importer","xBeta","x2Beta","df","r2","SlopeAtTen","PessShock","WelfareStar","Welfare5pct"
"1",1,"Brazil",-0.0128788125773147,0.00974641542018536,455,0.549476574708409,-0.0109295294932776,0.6606948309756,0.995745517550532,0.999380425409685
"2",1,"China",-0.0158416483960629,0.0114319683332504,455,0.549476574708409,-0.0135552547294129,0.692866177296291,0.994511928816874,0.99923649750103
"3",1,"EU",-0.0162293045794554,0.0122035095560947,455,0.549476574708409,-0.0137886026682365,0.664944150076492,0.994604209430041,0.999219043544917
"4",1,"India",-0.0154727414968614,0.0125776174535455,455,0.549476574708409,-0.0129572180061523,0.615090320325326,0.995241433238192,0.999257806968791
"5",1,"Japan",-0.0173234340115621,0.0140441279419453,455,0.549476574708409,-0.014514608423173,0.616750078152682,0.994657885359748,0.999168938619277
"6",1,"ROW",-0.0304158385114335,0.0239029480790651,455,0.549476574708409,-0.0256352488956205,0.636236133108464,0.990324172260117,0.998538965444626
"7",1,"US",-0.0174015869145928,0.012794373247332,455,0.549476574708409,-0.0148427122651264,0.680048431376719,0.994083039057633,0.999161906587389
"8",4,"Brazil",-0.060792995944227,0.0521254959853844,1281,0.904525895567872,-0.0503678967471501,0.583140695306505,0.982274565037659,0.997090663942752
"9",4,"China",-0.0741364320906789,0.0605277337259636,1281,0.904525895567872,-0.0620308853454862,0.612417048574197,0.977298792533603,0.996444497729781
"10",4,"EU",-0.0747237274470877,0.0623195011085443,1281,0.904525895567872,-0.0622598272253789,0.599521226244563,0.977600769645679,0.996419612380417
"11",4,"India",-0.074233672919196,0.0688543410422713,1281,0.904525895567872,-0.0604628047107417,0.539063128014123,0.9799916820361,0.996460452206646
"12",4,"Japan",-0.0835455826566411,0.0758772066462791,1281,0.904525895567872,-0.0683701413273853,0.550531485997568,0.977002763115753,0.996012413883784
"13",4,"ROW",-0.129944470900965,0.109603967386252,1281,0.904525895567872,-0.108023677423715,0.592790908941426,0.961485049491352,0.993776786373417
"14",4,"US",-0.0819886617571886,0.0682932647053414,1281,0.904525895567872,-0.0683300088161203,0.600269017090759,0.975392373297213,0.996071300073904
"15",3,"Brazil",-0.0432750857023264,0.0358606344007011,1631,0.83607785156469,-0.0361029588221862,0.603378696801308,0.986944367592483,0.997925897300885
"16",3,"China",-0.0529100931270644,0.0417072359676409,1631,0.83607785156469,-0.0445686459335362,0.634303519515359,0.983219470855809,0.997458763433566
"17",3,"EU",-0.0535912397888017,0.0433827652739632,1631,0.83607785156469,-0.0449146867340091,0.617655876133894,0.983449527917573,0.997428894923745
"18",3,"India",-0.0525902557128094,0.0470063621174482,1631,0.83607785156469,-0.0431889832893198,0.559395083386899,0.985290634760097,0.997488003119653
"19",3,"Japan",-0.0590959973079064,0.0520625053226237,1631,0.83607785156469,-0.0486834962433817,0.567548535569862,0.983230076634929,0.997175356397911
"20",3,"ROW",-0.0953883114307323,0.0787160205240116,1631,0.83607785156469,-0.0796451073259299,0.605901510237264,0.971102039022568,0.995427374479773
"21",3,"US",-0.0583961637271254,0.0469458808979223,1631,0.83607785156469,-0.0490069875475409,0.621951943495322,0.981840196238622,0.997197556515888
"22",5,"Brazil",-0.0798580916256222,0.0704373112077345,553,0.956845550461098,-0.0657706293840753,0.566873509624067,0.977365281664152,0.996183188696738
"23",5,"China",-0.0971574727511993,0.0817701140107452,553,0.956845550461098,-0.0808034499490503,0.594089135906256,0.971139900483202,0.995346551647467
"24",5,"EU",-0.0974906859676967,0.0834472170624596,553,0.956845550461098,-0.0808012425552048,0.58414581935504,0.971525611682957,0.995334083744271
"25",5,"India",-0.0979338670269232,0.0937243223806996,553,0.956845550461098,-0.0791890025507832,0.522457055646264,0.97441688009253,0.995337617454606
"26",5,"Japan",-0.110371448097844,0.10276620098255,553,0.956845550461098,-0.0898182079013344,0.537002667426549,0.970365118981863,0.994738343097564
"27",5,"ROW",-0.165880503887216,0.142791208248486,553,0.956845550461098,-0.137322262237519,0.580849850358259,0.951824167069879,0.99206295282626
"28",5,"US",-0.107644634813573,0.0924531139039071,553,0.956845550461098,-0.0891540120327913,0.582157973204966,0.968666908785271,0.994848901044081
"29",2,"Brazil",-0.0273038105653182,0.0217149555688072,1183,0.734908734507313,-0.0229608194515568,0.628686770249239,0.991417227760097,0.998689096860656
"30",2,"China",-0.0334784490543964,0.0253363801793483,1183,0.734908734507313,-0.0284111730185267,0.66067940284707,0.988940739135248,0.998389418497729
"31",2,"EU",-0.0340930970668806,0.0266694952265874,1183,0.734908734507313,-0.0287591980215631,0.63917777178048,0.989104225091848,0.998362018884722
"32",2,"India",-0.0330031529878696,0.0282399431755923,1183,0.734908734507313,-0.0273551643527512,0.584334621048285,0.990357557552717,0.998420442208546
"33",2,"Japan",-0.0370220700104193,0.0314226639461892,1183,0.734908734507313,-0.0307375372211815,0.589098207488376,0.989095182459676,0.998227453159344
"34",2,"ROW",-0.0622120453692418,0.05014461722411,1183,0.734908734507313,-0.0521831219244198,0.620326256467362,0.98070411739446,0.997014759274598
"35",2,"US",-0.0368670896182083,0.0284417410198037,1183,0.734908734507313,-0.0311787414142475,0.648115908103834,0.988052926366475,0.998227749871639
"36",6,"Brazil",-0.100470911918878,0.0907051805857808,115,0.94388273506763,-0.0823298758017215,0.553832268840815,0.972177983449731,0.995203217355521
"37",6,"China",-0.121973372972405,0.105395518702819,115,0.94388273506763,-0.100894269231841,0.578645916228802,0.964710302920433,0.994164820148137
"38",6,"EU",-0.121892370173249,0.106724697047484,115,0.94388273506763,-0.100547430763753,0.571059808766742,0.96519608319937,0.994172193233956
"39",6,"India",-0.0618879656576909,0.0606757999404349,115,0.94388273506763,-0.049752805669604,0.50998887298104,0.984218913071572,0.997057291216967
"40",6,"Japan",-0.139574435706591,0.132613795353581,115,0.94388273506763,-0.113051676635875,0.526244028136181,0.963274893364465,0.993352812703054
"41",6,"ROW",-0.203196539244325,0.178256555913917,115,0.94388273506763,-0.167545228061541,0.569955304596066,0.942093527291067,0.990285814427569
"42",6,"US",-0.135364333378895,0.119377438501093,115,0.94388273506763,-0.111488845678676,0.566959448445759,0.961626956104137,0.993530226927308
